beta,degree,mae_empirical,rmse_empirical,mae_uniform,max_error,c_max,r_c,effective_degree,derivative_discrepancy
1,5,15.583804633046556,96.44389843990977,258.49106539401686,1915.606146053015,0.6931471805599453,133.08425866750952,4,0.0
1,9,9630.352231076478,182119.38337654807,276829.53603748616,3732599.4343597586,0.6931471805599453,26303.71230134305,8,0.0
3,5,458.7015280358167,2714.005122755341,7323.895387117271,53267.176935876334,0.5,3.5555555555555554,4,0.0
3,9,21650480.550019052,405095540.63307756,620135366.6200575,8317392492.239206,0.5,8.675865407891552,8,7.105427357601002e-15
