run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
85,chebyshev_d5_I1,481,9,11,85,0.012364299996988848,0.21627670001180377,0.007671999992453493,0.2363130000012461
86,least_squares_d5_I2,411,7,23,86,0.012385199996060692,0.21820649999426678,0.007631200001924299,0.23822289999225177
87,least_squares_d5_I2,112,3,14,87,0.012331799996900372,0.21851690000039525,0.008540399998310022,0.23938909999560565
88,chebyshev_d5_I2,481,9,4,88,0.01232989999698475,0.22380260001227725,0.007789399998728186,0.2439219000079902
89,chebyshev_d5_I2,633,2,28,89,0.012746399996103719,0.22679430000425782,0.008171399997081608,0.24771209999744315
90,least_squares_d5_I1,603,8,27,90,0.012876300010248087,0.2193829000025289,0.007635600006324239,0.23989480001910124
91,chebyshev_d5_I1,949,1,20,91,0.01231299999926705,0.22194329999911133,0.008274299994809553,0.24253059999318793
92,least_squares_d3_I1,112,3,17,92,0.009397400004672818,0.1713523000071291,0.007801700005074963,0.18855140001687687
93,chebyshev_d3_I1,112,3,9,93,0.00956449999648612,0.17313120000471827,0.007969099999172613,0.190664800000377
94,least_squares_d5_I2,633,2,15,94,0.012839300004998222,0.2282848000031663,0.008006099989870563,0.2491301999980351
