configuration_id,method,degree,interval_name,stage,sample_count,median_ms,p95_ms,mean_ms,std_ms,p99_ms,min_ms,max_ms,coefficient_of_variation
chebyshev_d3_I1,chebyshev,3,I1,encrypt,300,9.57265000033658,10.324995000701165,9.688931000127923,0.4484626912561604,11.648816989763873,9.23940000939183,13.530899988836609,0.046286085766349176
chebyshev_d3_I1,chebyshev,3,I1,act3,300,39.077050001651514,41.92394500278169,39.43299766717246,1.3475600836675856,45.85960799187887,37.892699998337775,48.25999999593478,0.034173412202679554
chebyshev_d3_I1,chebyshev,3,I1,fc2,300,131.9223000027705,143.0510200036224,133.89433866711138,7.363760634328423,171.4076189887419,128.60109999019187,192.15869999607094,0.05499680350665335
chebyshev_d3_I1,chebyshev,3,I1,decrypt,300,7.974999993166421,9.464294993813388,8.206307999935234,0.868621589772774,12.859416995052015,7.588899999973364,13.689799990970641,0.1058480366298254
chebyshev_d3_I1,chebyshev,3,I1,online_total,300,188.71460000809748,203.4357499978796,191.222575334347,8.882058731338837,240.25601300832926,184.08949999138713,261.6502000018954,0.04644879777300782
chebyshev_d5_I1,chebyshev,5,I1,encrypt,300,12.723599997116253,14.284989990846952,12.91272299955987,0.7391110895518391,16.374714001285607,12.222099991049618,17.15169999806676,0.05723897969289914
chebyshev_d5_I1,chebyshev,5,I1,act3,300,81.48899999650894,87.60013999635703,82.57553666645738,4.13238075623545,103.07142100718917,79.26790000055917,117.12709999119397,0.05004364395386418
chebyshev_d5_I1,chebyshev,5,I1,fc2,300,142.04169999720762,151.13933000393445,143.51855900041605,5.905034352401934,168.9733479966526,137.99320001271553,196.5755999990506,0.04114474388211225
chebyshev_d5_I1,chebyshev,5,I1,decrypt,300,7.957450005051214,9.207364993199008,8.154264666469922,0.7190872029175194,11.921445000189117,7.5957999943057075,13.731900005950592,0.08818541368596768
chebyshev_d5_I1,chebyshev,5,I1,online_total,300,244.79249999421882,262.60325500625186,247.16108333290322,9.686605362832088,287.37279898952687,237.83779999939725,342.9806999920402,0.039191466683228295
chebyshev_d5_I2,chebyshev,5,I2,encrypt,300,12.69575000333134,13.49909500713693,12.845609332531845,0.6270563123873207,15.61608099000295,12.261299998499453,18.381799993221648,0.048814835961053564
chebyshev_d5_I2,chebyshev,5,I2,act3,300,81.24450000468642,87.10144500146271,82.16645400030151,3.8113239351388226,102.32032999992951,78.53940001223236,113.79740000120364,0.04638540121403848
chebyshev_d5_I2,chebyshev,5,I2,fc2,300,142.2268500100472,151.31364499902702,143.76992499936023,6.808523548130633,174.19599999600896,138.52730000508018,199.24940000055358,0.04735707797135549
chebyshev_d5_I2,chebyshev,5,I2,decrypt,300,7.96210000407882,8.93612999789184,8.145707999841155,0.7181754720331018,12.597657997393979,7.603500009281561,12.87959999172017,0.0881661203724841
chebyshev_d5_I2,chebyshev,5,I2,online_total,300,244.43310000060592,258.3844249973481,246.92769633203474,10.867235705896787,304.5606539929576,238.46019999473356,342.2372999921208,0.04400978856289984
least_squares_d3_I1,least_squares,3,I1,encrypt,300,9.587950000423007,10.655339991353685,9.723887333627014,0.523583109125422,11.923416987701783,9.26229999458883,13.65379999333527,0.053845040688076884
least_squares_d3_I1,least_squares,3,I1,act3,300,39.15864999726182,44.48453999866615,39.78493133360947,2.3633134073896396,48.4200459990825,38.0758999963291,64.94050000037532,0.05940222411275503
least_squares_d3_I1,least_squares,3,I1,fc2,300,131.97705000493443,142.4851100106025,133.5417003330076,5.855786899060442,162.0891720004147,129.0751999913482,182.86030000308529,0.04384987524090303
least_squares_d3_I1,least_squares,3,I1,decrypt,300,7.976199995027855,9.209955006372185,8.151231333613396,0.6775725452755755,11.596340997639341,7.636299997102469,13.156899993191473,0.08312517674249485
least_squares_d3_I1,least_squares,3,I1,online_total,300,189.00399999984074,204.23209999789836,191.2017503338575,8.266907622900504,226.77539601034357,184.7814000066137,270.85560001432896,0.04323656874722983
least_squares_d5_I1,least_squares,5,I1,encrypt,300,12.71930000075372,13.906664991372963,12.865659666858846,0.626257118820657,15.440617001440838,12.233200002810918,18.947300006402656,0.048676642709107036
least_squares_d5_I1,least_squares,5,I1,act3,300,81.2875499977963,86.9856150027772,82.02780699910363,2.9121532743411023,95.37660400266756,79.14760000130627,105.4705999995349,0.03550202523850144
least_squares_d5_I1,least_squares,5,I1,fc2,300,142.43524999619694,151.68176999650314,143.9076876665058,6.545463019674915,169.3927849976171,138.51780000550207,215.84720000100788,0.04548376202697028
least_squares_d5_I1,least_squares,5,I1,decrypt,300,7.999200002814177,9.02935499252635,8.158543666116504,0.5742376580250446,11.0743669916701,7.613399997353554,11.788999996497296,0.07038482375352459
least_squares_d5_I1,least_squares,5,I1,online_total,300,244.784400005301,256.9757350080181,246.9596979985848,8.912667643054517,287.1175359992776,238.09120000805706,336.38239998253994,0.03608956325782999
least_squares_d5_I2,least_squares,5,I2,encrypt,300,12.691249998169951,13.812165008857846,12.87439466730575,0.7400369213917013,16.32186099537648,12.226999999256805,18.55280000017956,0.05748129838453758
least_squares_d5_I2,least_squares,5,I2,act3,300,81.35220000258414,89.15008001131355,82.33225066690163,3.388143958914188,95.48477199961778,78.70559999719262,107.38610000407789,0.041152087201185364
least_squares_d5_I2,least_squares,5,I2,fc2,300,142.2916500014253,151.01901999369147,144.0898079997472,7.250678314931569,183.73220599896732,138.34740000311285,203.3876999921631,0.05032054949330136
least_squares_d5_I2,least_squares,5,I2,decrypt,300,7.998249995580409,9.156290000100858,8.18290666580045,0.8038924940079824,12.509106000652537,7.598500000312924,13.643099999171682,0.09824045743644637
least_squares_d5_I2,least_squares,5,I2,online_total,300,244.79730001621647,260.52789998575463,247.47935999975502,9.814009882621761,298.3984670056088,238.00219999975525,329.4441000180086,0.03965587224175574
