run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_seconds,fc2_seconds,decrypt_seconds,online_total_seconds,timing_residual_seconds,timing_residual_ratio
0,least_squares_d5_I1,589,4,7,0,0.013138499998603947,0.08035210000525694,0.14436900000146125,0.00797249999595806,0.2458321000012802,0.0,0.0
1,least_squares_d3_I1,411,7,2,1,0.010360300002503209,0.03875960000732448,0.13330089999362826,0.008054099991568364,0.19047489999502432,0.0,0.0
2,chebyshev_d3_I1,589,4,17,2,0.009572900002240203,0.03936520000570454,0.13262760000361595,0.00760650000302121,0.1891722000145819,0.0,0.0
3,chebyshev_d5_I1,586,0,10,3,0.01301959999545943,0.08136170000943821,0.14153210000949912,0.008022199996048585,0.24393560001044534,0.0,0.0
4,least_squares_d5_I1,481,9,7,4,0.012490199995227158,0.08033840000280179,0.14177309999649879,0.00796369998715818,0.24256539998168591,0.0,0.0
5,least_squares_d3_I1,481,9,23,5,0.009449399993172847,0.03871999999682885,0.1316987999889534,0.007863099992391653,0.18773129997134674,0.0,0.0
6,least_squares_d5_I1,949,1,8,6,0.012548400001833215,0.08148749999236315,0.14222179999342188,0.007737199994153343,0.2439948999817716,0.0,0.0
7,chebyshev_d3_I1,411,7,13,7,0.010067800001706928,0.04192380000313278,0.13245869999809656,0.008031500008655712,0.19248180001159199,0.0,0.0
8,least_squares_d5_I2,411,7,25,8,0.013126800011377782,0.08078390000446234,0.14341229999263305,0.00796499999705702,0.2452880000055302,0.0,0.0
9,least_squares_d5_I1,633,2,25,9,0.012690899995504878,0.08166890000575222,0.14232549999724142,0.007885400002123788,0.2445707000006223,0.0,0.0
10,least_squares_d5_I2,120,5,7,10,0.012934699989273213,0.08127870000316761,0.14397380000445992,0.007972999999765307,0.24616019999666605,0.0,0.0
11,least_squares_d3_I1,112,3,23,11,0.009434899999178015,0.03978089999873191,0.13254690000030678,0.007809900009306148,0.18957260000752285,0.0,0.0
12,chebyshev_d3_I1,411,7,12,12,0.009746899988385849,0.03911480000533629,0.13258289999794215,0.007914999994682148,0.18935959998634644,0.0,0.0
13,chebyshev_d5_I2,586,0,9,13,0.012434799995389767,0.08152369999152143,0.14026339999691118,0.007662400006665848,0.24188429999048822,0.0,0.0
14,chebyshev_d5_I1,589,4,18,14,0.012648800009628758,0.0851593999977922,0.1525502000004053,0.008308499993290752,0.25866690000111703,0.0,0.0
15,least_squares_d5_I1,481,9,8,15,0.01251359999878332,0.08200969999597874,0.14146729999629315,0.007615599999553524,0.24360619999060873,0.0,0.0
16,least_squares_d5_I2,481,9,6,16,0.01281129999551922,0.08184620000247378,0.14772810001159087,0.007618799994816072,0.25000440000439994,0.0,0.0
17,least_squares_d3_I1,603,8,28,17,0.0094771000003675,0.03922510000120383,0.13339030000497587,0.007771600008709356,0.18986410001525655,0.0,0.0
18,chebyshev_d5_I2,949,1,21,18,0.012427999987266958,0.08033440000144765,0.1459537999908207,0.007929700004751794,0.2466458999842871,0.0,0.0
19,least_squares_d5_I2,259,6,9,19,0.013808700008667074,0.08914580001146533,0.14777119999052957,0.008232599997427315,0.2589583000080893,0.0,0.0
20,chebyshev_d5_I1,120,5,2,20,0.012847099991631694,0.0820843999972567,0.14298549998784438,0.007974899999680929,0.2458918999764137,0.0,0.0
21,chebyshev_d5_I1,589,4,5,21,0.01264630000514444,0.08125490001111757,0.14074069999333005,0.007685299991862848,0.2423272000014549,0.0,0.0
22,least_squares_d5_I1,481,9,24,22,0.01273070000752341,0.07999509999353904,0.14160119999723975,0.007974099993589334,0.24230109999189153,0.0,0.0
23,chebyshev_d3_I1,603,8,23,23,0.009394400010933168,0.03967339999508113,0.13164570000662934,0.007782300002872944,0.18849580001551658,0.0,0.0
24,least_squares_d5_I1,603,8,15,24,0.012687299997196533,0.08155139999871608,0.15167819999624044,0.0078436000039801,0.25376049999613315,0.0,0.0
25,chebyshev_d5_I1,259,6,14,25,0.012769299995852634,0.08134440000867471,0.14290219999384135,0.007837099998141639,0.24485299999651033,0.0,0.0
26,chebyshev_d3_I1,603,8,9,26,0.009705700009362772,0.03941770001256373,0.1318360000004759,0.007754599995678291,0.1887140000180807,0.0,0.0
27,least_squares_d5_I1,481,9,18,27,0.012720500002615154,0.08180770000035409,0.14386039999953937,0.007835800002794713,0.24622440000530332,0.0,0.0
28,chebyshev_d5_I1,112,3,22,28,0.013359000004129484,0.08244399999966845,0.14324350000242703,0.007847300003049895,0.24689380000927486,0.0,0.0
