configuration_id,method,degree,interval_name,online_total_median_ms,online_total_p95_ms,encrypt_median_ms,encrypt_share_pct,act3_median_ms,act3_share_pct,fc2_median_ms,fc2_share_pct,decrypt_median_ms,decrypt_share_pct
chebyshev_d3_I1,chebyshev,3,I1,188.71460000809748,203.4357499978796,9.57265000033658,5.0725540047912725,39.077050001651514,20.706956430490685,131.9223000027705,69.90572006464254,7.974999993166421,4.225958136161285
chebyshev_d5_I1,chebyshev,5,I1,244.79249999421882,262.60325500625186,12.723599997116253,5.197708262065522,81.48899999650894,33.28901007932573,142.04169999720762,58.025347999044975,7.957450005051214,3.2506919146784083
chebyshev_d5_I2,chebyshev,5,I2,244.43310000060592,258.3844249973481,12.69575000333134,5.193956957261463,81.24450000468642,33.23792890753545,142.2268500100472,58.18641174607475,7.96210000407882,3.2573739006947435
least_squares_d3_I1,least_squares,3,I1,189.00399999984074,204.23209999789836,9.587950000423007,5.0728820556343175,39.15864999726182,20.718423947268214,131.97705000493443,69.82764915295212,7.976199995027855,4.220122322826277
least_squares_d5_I1,least_squares,5,I1,244.784400005301,256.9757350080181,12.71930000075372,5.196123609379631,81.2875499977963,33.20781471206333,142.43524999619694,58.188042209026555,7.999200002814177,3.2678553055835864
least_squares_d5_I2,least_squares,5,I2,244.79730001621647,260.52789998575463,12.691249998169951,5.184391330022523,81.35220000258414,33.23247437663528,142.2916500014253,58.12631511540334,7.998249995580409,3.267295021248424
