configuration_id,method,degree,interval_name,valid,practically_viable,eligible_for_ckks,validation_accuracy,validation_macro_f1,validation_loss,delta_accuracy_vs_relu,delta_f1_vs_relu,delta_accuracy_relative,delta_f1_relative,prediction_change_fraction,functional_mae_mean,functional_mae_max,functional_rmse_mean,functional_rmse_max,functional_p99_mean,functional_max_error_max,act1_functional_mae,act2_functional_mae,act3_functional_mae,act1_max_abs,act2_max_abs,act3_max_abs,logits_max_abs,amplification_act1_act2,amplification_act2_act3,amplification_act3_logits,max_abs_coefficient,max_effective_degree,first_non_finite_layer
chebyshev_d3_I1,chebyshev,3,I1,True,True,True,0.9381666666666667,0.9402811247304589,0.18009812927246094,0.05049999999999999,0.0483583741411201,5.107889413351314,4.891406240223636,0.057666666666666665,0.4475908480002966,0.5124464651505697,0.5443149972713004,0.6363370544049349,1.0567682488682395,9.381451825304364,0.4161736649344692,0.41415241391585095,0.5124464651505697,12.130392074584961,26.56991195678711,29.351593017578125,30.42043685913086,2.1903588765653317,1.1046928971881427,1.0364151901708227,1.4345322691841986,3,
chebyshev_d3_I2,chebyshev,3,I2,True,True,False,0.7741666666666667,0.7733143225347566,0.6294350725809733,0.21450000000000002,0.21532517633682235,21.695886716115982,21.779948766217807,0.224,0.6403449698490163,0.7500681557544013,0.755543179597283,0.9045636911763414,1.388711314574607,4.37964725720893,0.5588662879274302,0.6121004658652175,0.7500681557544013,11.503437042236328,19.482128143310547,24.10490608215332,25.872920989990234,1.6935919301142561,1.2372830064988989,1.0733466831113205,1.8968442424484326,3,
chebyshev_d5_I1,chebyshev,5,I1,True,True,True,0.9851666666666666,0.9850984469280872,0.05099686895310879,0.0035000000000000586,0.0035410519434917465,0.3540121375590079,0.3581742331288058,0.008166666666666666,0.23907827507618507,0.26178917789686756,0.5002786913271837,0.6941707721590673,0.6422013153326279,79.32458070150973,0.2046989394513584,0.26178917789686756,0.2507467078803293,8.191815376281738,71.29145812988281,40.2014274597168,32.6304931640625,8.702766707400244,0.563902443774891,0.811674988326187,0.8424512529420917,5,
chebyshev_d5_I2,chebyshev,5,I2,True,True,True,0.9816666666666667,0.9815706929835427,0.06742892388502757,0.007000000000000006,0.007068805888036267,0.7080242751180047,0.7150033855722451,0.0125,0.32497623370374634,0.35586902471063275,0.396440189334834,0.4360803837551017,0.8390601499759928,15.930070798613881,0.27493030937301144,0.35586902471063275,0.34412936702759483,9.432157516479492,13.194350242614746,16.552156448364258,30.950952529907227,1.3988687338565646,1.2544881819874167,1.8699045424358613,1.1042956814548412,5,
chebyshev_d7_I1,chebyshev,7,I1,True,True,False,0.7913333333333333,0.7947925092248462,184816864.35262617,0.19733333333333336,0.19384698964673275,19.95954146999326,19.607449415887928,0.20333333333333334,0.20591273642303873,0.2461352071138178,3.108026472382196,6.502891668310902,0.4778530218798956,1716.7272176688825,0.13336442464991372,0.2461352071138178,0.23823857750538457,20.24624252319336,4514.82666015625,1273577209856.0,550545326080.0,222.9957808212564,282087731.3176678,0.432282645935733,0.5927317092921558,7,
chebyshev_d7_I2,chebyshev,7,I2,True,True,True,0.9863333333333333,0.9862825221482108,0.048599272112051645,0.0023333333333334094,0.0023569767233682093,0.23600809170600903,0.23840608493373305,0.0075,0.2191934824707699,0.2685891137528662,0.38653585430179715,0.6184972576432416,0.620819644658254,157.96674781633374,0.1730778850082478,0.2685891137528662,0.21591344865119572,12.315272331237793,28.458982467651367,104.15555572509766,39.39287185668945,2.3108691145597002,3.659848198841441,0.37821191181256253,0.7781697280228419,7,
chebyshev_d9_I1,chebyshev,9,I1,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,0.4560156934261886,0.9743335689146433,37.32483707017763,105.31125020848759,0.37707668080759776,30358.240723169765,0.10890902706596922,0.2848044842979533,0.9743335689146433,70.18299865722656,12442464.0,3.233591502782532e+38,7.503104286794594e+31,177286.01282439867,2.598835329386954e+31,2.3203624453917915e-07,0.5142927543809264,9,act3
chebyshev_d9_I2,chebyshev,9,I2,True,True,True,0.9838333333333333,0.9837264907213712,0.2263943261777361,0.004833333333333356,0.004913008150207787,0.488873904248148,0.49694637487329146,0.009166666666666667,0.16338575749411618,0.1907492772327605,1.4987688126173095,4.089380954644053,0.4851391327447381,1229.4071694133816,0.12211510966581218,0.1907492772327605,0.17729288558377593,8.983199119567871,46.88926696777344,887.8793334960938,292.95086669921875,5.219662432465794,18.935662485538664,0.32994445939596506,0.6168888943851862,9,
least_squares_d3_I1,least_squares,3,I1,True,True,True,0.9646666666666667,0.9650535919726698,0.11972327403227488,0.02400000000000002,0.02358590689890916,2.4275118004045875,2.385693362022236,0.030833333333333334,0.39082664964281344,0.4524461061932738,0.4920723711139181,0.5788830685718785,0.9361053240142474,11.798877020806948,0.35655794898766796,0.3634758937474985,0.4524461061932738,12.518585205078125,30.147296905517578,35.762569427490234,33.83348083496094,2.4082031964191937,1.1862612273189828,0.9460584453686547,1.2612859694364056,3,
least_squares_d3_I2,least_squares,3,I2,True,True,False,0.8653333333333333,0.8718237508105376,0.3556964529355367,0.1233333333333334,0.11681574806104134,12.474713418745791,11.815808309740143,0.132,0.5443514591903924,0.6364891101894492,0.6446891708208762,0.7693958429220477,1.2181910745126798,6.183642801970773,0.4773480249748342,0.5192172424068938,0.6364891101894492,11.906105041503906,21.67441177368164,26.29479217529297,27.39724349975586,1.8204452000149698,1.213172124339746,1.0419266034548746,1.6622934669399294,3,
